Parameter name,Repetitions,Time unit
epoch_iterations_number,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,0.80202,212,212,253
10,21,14.7641,212,212,217
10,41,28.8258,212,212,221
10,61,41.737,212,212,212
10,81,55.9505,212,212,212
10,101,70.9134,212,212,212
10,121,85.0766,212,212,214
10,141,98.0422,212,212,212
10,161,108.859,212,212,212
10,181,122.971,212,212,212
10,201,136.134,212,212,212
10,221,149.698,212,212,212
10,241,162.964,212,212,212
10,261,176.927,212,212,212
10,281,190.291,212,212,212
10,301,203.456,212,212,212
10,321,220.613,212,212,212
10,341,254.771,212,212,212
10,361,264.497,212,212,212
10,381,266.591,212,212,212
10,401,278.455,212,212,212
10,421,292.521,212,212,212
10,441,306.085,212,212,212
10,461,320.347,212,212,212
10,481,334.31,212,212,212
10,501,348.032,212,212,212
10,521,359.102,212,212,212
10,541,374.313,212,212,212
10,561,393.651,212,212,212
10,581,401.83,212,212,212
10,601,415.788,212,212,212
10,621,432.347,212,212,212
10,641,437.836,212,212,212
10,661,459.076,212,212,212
10,681,471.261,212,212,212
10,701,522.863,212,212,212
10,721,525.724,212,212,212
10,741,510.439,212,212,212
10,761,526.254,212,212,212
10,781,529.94,212,212,212
10,801,541.816,212,212,212
10,821,557.413,212,212,212
10,841,577.716,212,212,212
10,861,590.68,212,212,212
10,881,608.04,212,212,212
10,901,624.646,212,212,212
10,921,645.531,212,212,212
10,941,658.543,212,212,212
10,961,658.496,212,212,212
10,981,678.102,212,212,212
18,1,0.70049,187,225,283
18,21,14.6649,187,224,269
18,41,28.3276,187,239,260
18,61,41.8909,187,217,251
18,81,55.4523,187,225,245
18,101,67.9686,187,205,247
18,121,83.1799,187,225,245
18,141,97.5427,187,216,236
18,161,110.308,187,224,240
18,181,123.473,187,224,238
18,201,137.194,187,217,231
18,221,165.261,187,214,241
18,241,164.762,187,214,235
18,261,179.221,187,216,236
18,281,191.691,187,226,236
18,301,205.253,187,208,230
18,321,218.818,187,198,231
18,341,235.073,187,204,235
18,361,248.793,187,210,237
18,381,255.617,187,213,225
18,401,273.472,187,221,237
18,421,288.49,187,228,237
18,441,301.896,187,201,229
18,461,306.93,187,213,225
18,481,329.72,187,212,225
18,501,342.744,187,213,229
18,521,376.649,187,217,228
18,541,376.297,187,206,222
18,561,383.734,187,195,230
18,581,389.657,187,208,227
18,601,402.733,187,215,226
18,621,418.78,187,217,234
18,641,433.942,187,207,220
18,661,450.852,187,221,229
18,681,461.474,187,212,227
18,701,480.633,187,210,224
18,721,491.546,187,216,224
18,741,505.55,187,214,221
18,761,519.528,187,214,225
18,781,532.992,187,209,227
18,801,559.621,187,202,226
18,821,580.348,187,192,218
18,841,563.447,187,210,218
18,861,579.801,187,199,221
18,881,601.952,187,209,225
18,901,612.612,187,205,221
18,921,630.179,187,194,221
18,941,643.648,187,197,217
18,961,656.904,187,202,221
18,981,671.865,187,206,219
24,1,0.70127,1272,1419,1558
24,21,14.3649,1272,1376,1453
24,41,27.5267,1272,1328,1408
24,61,41.7915,1272,1321,1408
