Parameter name,Repetitions,Time unit
initial_temperature,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,334.067,212,212,242
10,201,336.607,212,212,212
10,401,339.999,212,212,212
10,601,342.749,212,212,212
10,801,343.007,212,212,212
10,1001,335.858,212,212,212
10,1201,339.054,212,212,212
10,1401,356.749,212,212,212
10,1601,363.436,212,212,212
10,1801,342.747,212,212,212
10,2001,341.874,212,212,212
10,2201,338.612,212,212,212
10,2401,337.601,212,212,212
10,2601,339.454,212,212,212
10,2801,349.165,212,212,212
10,3001,430.848,212,212,212
10,3201,396.939,212,212,212
10,3401,402.524,212,212,212
10,3601,426.959,212,212,212
10,3801,429.651,212,212,212
10,4001,413.494,212,212,212
10,4201,387.614,212,212,212
10,4401,381.68,212,212,212
10,4601,386.17,212,212,212
10,4801,452.886,212,212,212
10,5001,414.791,212,212,212
10,5201,395.443,212,212,212
10,5401,393.847,212,212,212
10,5601,396.239,212,212,212
10,5801,398.736,212,212,212
10,6001,396.539,212,212,212
10,6201,386.467,212,212,212
10,6401,392.75,212,212,212
10,6601,400.628,212,212,212
10,6801,399.733,212,212,212
10,7001,421.373,212,212,212
10,7201,421.274,212,212,212
10,7401,418.781,212,212,212
10,7601,415.988,212,212,212
10,7801,399.232,212,212,212
10,8001,419.778,212,212,212
10,8201,441.719,212,212,212
10,8401,393.151,212,212,212
10,8601,393.548,212,212,212
10,8801,394.246,212,212,212
10,9001,396.141,212,212,212
10,9201,419.381,212,212,212
10,9401,421.375,212,212,212
10,9601,405.713,212,212,212
10,9801,401.924,212,212,212
18,1,391.853,187,236,266
18,201,394.046,187,210,234
18,401,393.946,187,206,226
18,601,404.219,187,215,228
18,801,416.885,187,216,229
18,1001,393.847,187,207,220
18,1201,392.349,187,213,226
18,1401,440.425,187,216,232
18,1601,412.795,187,205,224
18,1801,384.171,187,208,226
18,2001,384.77,187,207,230
18,2201,380.881,187,205,230
18,2401,391.952,187,208,227
18,2601,380.682,187,203,228
18,2801,377.59,187,215,233
18,3001,375.295,187,210,226
18,3201,373.9,187,201,223
18,3401,371.505,187,214,226
18,3601,379.983,187,211,233
18,3801,377.74,187,202,227
18,4001,380.881,187,213,227
18,4201,375.297,187,215,229
18,4401,376.095,187,205,224
18,4601,373.701,187,193,220
18,4801,406.464,187,205,223
18,5001,389.259,187,205,231
18,5201,383.672,187,205,232
18,5401,386.267,187,218,234
18,5601,374.997,187,205,226
18,5801,383.577,187,205,224
18,6001,377.99,187,213,233
18,6201,379.785,187,211,227
18,6401,375.296,187,207,226
18,6601,381.679,187,198,226
18,6801,386.765,187,194,225
18,7001,391.653,187,193,224
18,7201,396.643,187,219,233
18,7401,393.947,187,202,225
18,7601,391.952,187,209,224
