Parameter name,Repetitions,Time unit
linear_cooling_scheme,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,354.752,212,212,212
10,2.98,361.593,212,212,212
10,4.96,364.786,212,212,212
10,6.94,362.93,212,212,212
10,8.92,363.76,212,212,212
10,10.9,362.292,212,212,214
10,12.88,363.787,212,212,212
10,14.86,367.121,212,212,215
10,16.84,363.929,212,212,212
10,18.82,389.659,212,212,216
10,20.8,372.105,212,212,218
10,22.78,365.882,212,212,215
10,24.76,355.399,212,212,212
10,26.74,361.49,212,212,225
10,28.72,365.325,212,212,222
10,30.7,365.925,212,212,224
10,32.68,364.785,212,212,224
10,34.66,363.727,212,212,224
10,36.64,365.127,212,212,225
10,38.62,365.227,212,212,231
10,40.6,364.782,212,212,223
10,42.58,360.292,212,212,224
10,44.56,367.62,212,212,219
10,46.54,364.582,212,212,224
10,48.52,355.15,212,212,226
10,50.5,360.892,212,212,225
10,52.48,364.286,212,212,223
10,54.46,392.251,212,212,228
10,56.44,374.002,212,212,236
10,58.42,365.181,212,212,223
10,60.4,367.677,212,212,218
10,62.38,366.025,212,212,221
10,64.36,361.434,212,212,222
10,66.34,367.578,212,212,227
10,68.32,367.278,212,212,232
10,70.3,365.583,212,212,217
10,72.28,365.825,212,212,235
10,74.26,364.584,212,212,225
10,76.24,365.284,212,212,223
10,78.22,355.151,212,212,226
10,80.2,362.335,212,212,225
10,82.18,364.382,212,212,215
10,84.16,360.088,212,212,221
10,86.14,360.189,212,212,232
10,88.12,364.725,212,212,222
10,90.1,395.543,212,212,214
10,92.08,368.618,212,212,245
10,94.06,364.986,212,212,237
10,96.04,365.624,212,212,224
10,98.02,358.193,212,212,215
18,1,354.602,187,210,237
18,2.98,355.549,187,218,247
18,4.96,354.154,187,206,242
18,6.94,353.854,187,229,253
18,8.92,355.552,187,200,255
18,10.9,361.434,187,223,259
18,12.88,356.646,187,242,258
18,14.86,353.854,187,219,269
18,16.84,357.646,187,238,259
18,18.82,363.685,187,240,278
18,20.8,361.29,187,245,283
18,22.78,359.495,187,239,278
18,24.76,361.941,187,224,265
18,26.74,390.914,187,206,274
18,28.72,368.618,187,222,267
18,30.7,355.899,187,220,272
18,32.68,358.493,187,247,285
18,34.66,366.025,187,253,294
18,36.64,366.482,187,232,262
18,38.62,363.878,187,261,276
18,40.6,363.386,187,237,289
18,42.58,366.422,187,279,301
18,44.56,363.731,187,226,283
18,46.54,363.988,187,261,278
18,48.52,355.997,187,246,289
18,50.5,356.45,187,243,270
18,52.48,360.592,187,231,269
18,54.46,356.999,187,266,281
18,56.44,354.951,187,225,277
18,58.42,356.505,187,239,265
18,60.4,365.724,187,230,286
18,62.38,396.543,187,233,296
18,64.36,375.798,187,231,279
18,66.34,366.38,187,216,271
18,68.32,365.868,187,250,293
18,70.3,365.924,187,230,277
18,72.28,365.982,187,250,287
18,74.26,365.083,187,238,270
18,76.24,366.082,187,235,267
18,78.22,363.63,187,216,279
18,80.2,365.824,187,262,290
18,82.18,363.731,187,249,276
18,84.16,363.133,187,238,287
18,86.14,363.332,187,214,276
18,88.12,366.124,187,256,287
18,90.1,359.343,187,247,285
18,92.08,360.187,187,240,296
18,94.06,362.829,187,211,291
18,96.04,363.73,187,240,282
18,98.02,389.418,187,235,280
24,1,370.91,1272,1272,1347
24,2.98,353.662,1272,1304,1406
24,4.96,364.229,1272,1319,1395
24,6.94,353.156,1272,1348,1436
24,8.92,352.309,1272,1344,1443
24,10.9,352.905,1272,1317,1431
24,12.88,362.832,1272,1356,1425
24,14.86,360.497,1272,1358,1450
24,16.84,358.937,1272,1290,1483
24,18.82,361.996,1272,1377,1445
24,20.8,367.478,1272,1357,1481
24,22.78,356.749,1272,1290,1459
24,24.76,353.306,1272,1346,1474
24,26.74,352.608,1272,1330,1447
24,28.72,362.235,1272,1377,1483
24,30.7,362.092,1272,1330,1453
24,32.68,352.557,1272,1352,1468
24,34.66,383.577,1272,1355,1469
24,36.64,367.017,1272,1364,1475
24,38.62,352.857,1272,1352,1454
24,40.6,356.508,1272,1328,1410
24,42.58,362.235,1272,1290,1471
