Parameter name,Repetitions,Time unit
cadenza_length_parameter,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,0.01,2.99527,212,212,212
10,0.05,2.89251,212,212,212
10,0.09,2.79289,212,212,212
10,0.13,2.99228,212,212,212
10,0.17,2.9953,212,212,212
10,0.21,3.19082,212,212,212
10,0.25,3.09551,212,212,212
10,0.29,3.19426,212,212,212
10,0.33,2.99556,212,212,212
10,0.37,3.19396,212,212,212
10,0.41,3.09454,212,212,212
10,0.45,3.19398,212,212,212
10,0.49,3.19171,212,212,212
10,0.53,3.39284,212,212,212
10,0.57,3.29442,212,212,212
10,0.61,3.49418,212,212,212
10,0.65,3.39137,212,212,212
10,0.69,3.3934,212,212,212
10,0.73,3.39419,212,212,212
10,0.77,3.49114,212,212,212
10,0.81,3.58968,212,212,212
10,0.85,3.49061,212,212,212
10,0.89,3.49039,212,212,212
10,0.93,3.49388,212,212,212
10,0.97,3.59357,212,212,212
10,1.01,3.793,212,212,212
10,1.05,3.7936,212,212,212
10,1.09,3.59367,212,212,212
10,1.13,3.69386,212,212,212
10,1.17,3.69304,212,212,212
10,1.21,3.69145,212,212,212
10,1.25,3.89305,212,212,212
10,1.29,3.68997,212,212,212
10,1.33,3.79355,212,212,212
10,1.37,3.79339,212,212,212
10,1.41,3.98851,212,212,212
10,1.45,3.8891,212,212,212
10,1.49,3.89036,212,212,212
10,1.53,3.79248,212,212,212
10,1.57,3.79356,212,212,212
10,1.61,3.89304,212,212,212
10,1.65,3.89077,212,212,212
10,1.69,3.79326,212,212,212
10,1.73,3.892,212,212,212
10,1.77,3.79317,212,212,212
10,1.81,3.893,212,212,212
10,1.85,3.89317,212,212,212
10,1.89,4.09206,212,212,212
10,1.93,4.1921,212,212,212
10,1.97,4.39106,212,212,212
18,0.01,10.4727,187,224,242
18,0.05,10.575,187,213,237
18,0.09,10.4749,187,235,247
18,0.13,10.5719,187,219,230
18,0.17,10.872,187,213,230
18,0.21,10.6742,187,187,218
18,0.25,10.5719,187,212,223
18,0.29,10.8688,187,223,238
18,0.33,11.17,187,215,227
18,0.37,11.1695,187,208,221
18,0.41,11.5731,187,222,233
18,0.45,12.0714,187,201,228
18,0.49,11.9718,187,213,223
18,0.53,12.4697,187,220,230
18,0.57,12.766,187,195,214
18,0.61,12.2704,187,217,217
18,0.65,12.8693,187,200,215
18,0.69,12.769,187,217,217
18,0.73,13.1676,187,217,217
18,0.77,13.0681,187,217,217
18,0.81,13.5637,187,203,214
18,0.85,13.4671,187,218,232
18,0.89,13.8664,187,210,232
18,0.93,13.7658,187,209,229
18,0.97,14.0663,187,208,227
18,1.01,14.1654,187,207,231
18,1.05,14.166,187,205,231
18,1.09,14.365,187,210,230
18,1.13,14.6621,187,215,238
18,1.17,14.7605,187,206,232
18,1.21,14.5612,187,220,234
18,1.25,15.0629,187,207,227
18,1.29,15.2626,187,227,233
18,1.33,14.9634,187,211,230
18,1.37,15.3621,187,201,201
18,1.41,15.362,187,209,229
18,1.45,15.761,187,206,225
18,1.49,15.7613,187,213,229
18,1.53,15.761,187,206,226
18,1.57,15.9566,187,209,230
18,1.61,15.9597,187,195,233
18,1.65,16.2163,187,209,236
18,1.69,16.4593,187,210,234
18,1.73,16.6593,187,206,225
18,1.77,16.659,187,208,229
18,1.81,16.4561,187,201,232
18,1.85,16.3562,187,195,229
18,1.89,16.8588,187,207,229
18,1.93,16.6556,187,216,231
18,1.97,16.7574,187,226,234
24,0.01,18.6528,1272,1330,1372
24,0.05,18.5533,1272,1355,1380
24,0.09,19.1488,1272,1380,1382
24,0.13,19.4485,1272,1342,1346
24,0.17,20.1447,1272,1345,1379
24,0.21,20.7479,1272,1283,1362
24,0.25,21.0468,1272,1304,1368
24,0.29,21.2439,1272,1290,1363
24,0.33,21.4455,1272,1272,1272
24,0.37,22.0445,1272,1323,1340
24,0.41,22.7415,1272,1342,1342
24,0.45,23.0413,1272,1327,1327
24,0.49,23.4402,1272,1352,1363
24,0.53,23.8387,1272,1346,1352
24,0.57,23.6369,1272,1346,1372
24,0.61,24.5371,1272,1344,1370
24,0.65,25.0363,1272,1289,1373
24,0.69,25.4315,1272,1334,1378
24,0.73,26.0309,1272,1350,1377
24,0.77,25.9344,1272,1335,1372
24,0.81,26.532,1272,1328,1371
24,0.85,26.8284,1272,1294,1345
24,0.89,27.3305,1272,1352,1372
24,0.93,27.4262,1272,1317,1365
24,0.97,27.8294,1272,1272,1272
24,1.01,28.1285,1272,1272,1272
24,1.05,28.9255,1272,1272,1272
24,1.09,28.9255,1272,1272,1272
24,1.13,29.1221,1272,1272,1272
24,1.17,29.7205,1272,1272,1272
24,1.21,30.0233,1272,1272,1272
24,1.25,30.3186,1272,1272,1272
24,1.29,30.2191,1272,1272,1272
24,1.33,30.4186,1272,1272,1272
24,1.37,31.0176,1272,1272,1272
24,1.41,30.5172,1272,1272,1272
24,1.45,31.7189,1272,1272,1272
24,1.49,32.0146,1272,1272,1272
24,1.53,31.7183,1272,1272,1272
24,1.57,32.3169,1272,1272,1272
24,1.61,31.914,1272,1272,1272
24,1.65,32.1129,1272,1272,1272
24,1.69,33.2114,1272,1272,1272
24,1.73,32.4134,1272,1272,1272
24,1.77,33.6134,1272,1272,1272
24,1.81,34.0119,1272,1272,1272
24,1.85,34.3113,1272,1327,1375
24,1.89,34.5108,1272,1383,1383
24,1.93,34.7098,1272,1272,1359
24,1.97,34.8103,1272,1302,1363
42,0.01,66.924,699,699,699
42,0.05,67.8172,699,699,699
42,0.09,67.2223,699,699,699
42,0.13,71.2096,699,699,699
42,0.17,75.9971,699,699,699
42,0.21,78.1901,699,699,699
42,0.25,80.6844,699,699,699
42,0.29,80.8868,699,699,699
42,0.33,80.2887,699,699,699
42,0.37,84.1782,699,699,699
42,0.41,86.0729,699,699,699
42,0.45,86.9676,699,699,699
42,0.49,88.5203,699,699,699
42,0.53,89.6603,699,699,699
42,0.57,92.9539,699,699,699
42,0.61,95.6058,699,699,699
42,0.65,99.1384,699,699,699
42,0.69,96.7414,699,699,699
42,0.73,100.991,699,699,699
42,0.77,103.028,699,699,699
42,0.81,105.321,699,699,699
42,0.85,102.825,699,699,699
42,0.89,107.715,699,699,699
42,0.93,109.41,699,699,699
42,0.97,111.163,699,699,699
42,1.01,112.403,699,699,699
42,1.05,114.298,699,699,699
42,1.09,115.393,699,699,699
42,1.13,116.449,699,699,699
42,1.17,116.089,699,699,699
42,1.21,118.486,699,699,699
42,1.25,118.685,699,699,699
42,1.29,119.34,699,699,699
42,1.33,118.187,699,699,699
42,1.37,115.59,699,699,699
42,1.41,123.672,699,699,699
42,1.45,118.485,699,699,699
42,1.49,119.039,699,699,699
42,1.53,118.985,699,699,699
42,1.57,119.085,699,699,699
42,1.61,119.085,699,699,699
42,1.65,119.239,699,699,699
42,1.69,119.284,699,699,699
42,1.73,118.885,699,699,699
42,1.77,119.284,699,699,699
42,1.81,115.944,699,699,699
42,1.85,118.287,699,699,699
42,1.89,119.184,699,699,699
42,1.93,116.089,699,699,699
42,1.97,118.244,699,699,699
65,0.01,157.778,1839,2554,2554
65,0.05,176.632,1839,2469,2469
65,0.09,187.401,1839,2396,2396
65,0.13,190.541,1839,2396,2396
65,0.17,201.362,1839,2396,2396
65,0.21,207.748,1839,2396,2396
65,0.25,233.932,1839,2396,2396
65,0.29,252.824,1839,2396,2396
65,0.33,242.81,1839,2396,2396
65,0.37,244.945,1839,2396,2396
65,0.41,244.546,1839,2396,2396
65,0.45,258.21,1839,2396,2396
65,0.49,259.06,1839,2353,2353
65,0.53,272.432,1839,2396,2396
65,0.57,278.457,1839,2396,2396
65,0.61,276.81,1839,2396,2396
65,0.65,286.335,1839,2396,2396
65,0.69,294.671,1839,2396,2396
65,0.73,300.057,1839,2436,2436
65,0.77,305.483,1839,2436,2436
65,0.81,304.487,1839,2436,2436
65,0.85,306.883,1839,2436,2436
65,0.89,307.38,1839,2436,2436
65,0.93,307.481,1839,2436,2436
65,0.97,308.08,1839,2436,2436
65,1.01,308.478,1839,2436,2436
65,1.05,308.778,1839,2436,2436
65,1.09,308.976,1839,2436,2436
65,1.13,304.045,1839,2436,2436
65,1.17,320.545,1839,2436,2436
65,1.21,316.454,1839,2436,2436
65,1.25,310.27,1839,2436,2436
65,1.29,308.179,1839,2436,2436
65,1.33,307.577,1839,2436,2436
65,1.37,311.068,1839,2436,2436
65,1.41,307.039,1839,2436,2436
65,1.45,299.798,1839,2436,2436
65,1.49,309.93,1839,2436,2436
65,1.53,311.07,1839,2436,2436
65,1.57,309.032,1839,2436,2436
65,1.61,308.136,1839,2436,2436
65,1.65,308.878,1839,2436,2436
65,1.69,300.746,1839,2436,2436
65,1.73,302.594,1839,2436,2436
65,1.77,305.184,1839,2436,2436
65,1.81,310.329,1839,2436,2436
65,1.85,309.976,1839,2436,2436
65,1.89,308.332,1839,2436,2436
65,1.93,308.635,1839,2436,2436
65,1.97,309.873,1839,2436,2436
100,0.01,481.871,36230,64348,64348
100,0.05,527.141,36230,64141,64141
100,0.09,537.82,36230,64141,64141
100,0.13,566.896,36230,64141,64141
100,0.17,599.856,36230,64141,64141
100,0.21,614.269,36230,64141,64141
100,0.25,641.545,36230,64141,64141
100,0.29,671.006,36230,64141,64141
100,0.33,690.704,36230,64141,64141
100,0.37,711.747,36230,64141,64141
100,0.41,731.002,36230,64141,64141
100,0.45,802.813,36230,64141,64141
100,0.49,768.198,36230,64141,64141
100,0.53,796.872,36230,64141,64141
100,0.57,772.984,36230,64141,64141
100,0.61,797.828,36230,64141,64141
100,0.65,780.117,36230,64141,64141
100,0.69,788.15,36230,64141,64141
100,0.73,778.868,36230,64141,64141
100,0.77,814.426,36230,64141,64141
100,0.81,788.193,36230,64141,64141
100,0.85,786.403,36230,64141,64141
100,0.89,795.533,36230,64141,64141
100,0.93,788.814,36230,64348,64348
100,0.97,782.807,36230,64594,64594
100,1.01,774.029,36230,64594,64594
100,1.05,768.346,36230,64594,64594
100,1.09,799.023,36230,64594,64594
100,1.13,814.183,36230,64594,64594
100,1.17,781.809,36230,64594,64594
100,1.21,784.606,36230,64594,64594
100,1.25,794.976,36230,64594,64594
100,1.29,793.681,36230,64594,64594
100,1.33,781.319,36230,64594,64594
100,1.37,781.462,36230,64594,64594
100,1.41,790.244,36230,64594,64594
100,1.45,824.954,36230,64594,64594
100,1.49,783.505,36230,64594,64594
100,1.53,769.842,36230,64594,64594
100,1.57,777.472,36230,64594,64594
100,1.61,786.252,36230,64594,64594
100,1.65,775.577,36230,64594,64594
100,1.69,777.58,36230,64594,64594
100,1.73,795.134,36230,64594,64594
100,1.77,802.904,36230,64594,64594
100,1.81,801.767,36230,64594,64594
100,1.85,790.047,36230,64594,64594
100,1.89,788.794,36230,64594,64594
100,1.93,777.923,36230,64594,64594
100,1.97,776.675,36230,64594,64594
