Parameter name,Repetitions,Time unit
iterations_number,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,0,212,354,354
10,21,0.60235,212,212,212
10,41,1.24154,212,212,212
10,61,1.69891,212,212,212
10,81,2.3966,212,212,212
10,101,2.89237,212,212,212
10,121,3.69394,212,212,212
10,141,3.9927,212,212,212
10,161,4.98677,212,212,212
10,181,5.58707,212,212,212
10,201,5.88756,212,212,212
10,221,6.38623,212,212,212
10,241,6.98471,212,212,212
10,261,7.74084,212,212,212
10,281,8.28076,212,212,212
10,301,8.8785,212,212,212
10,321,9.67764,212,212,212
10,341,10.0762,212,212,212
10,361,10.6719,212,212,212
10,381,11.0738,212,212,212
10,401,11.5712,212,212,212
10,421,12.4708,212,212,212
10,441,12.769,212,212,212
10,461,13.9639,212,212,212
10,481,14.4618,212,212,212
10,501,14.8641,212,212,212
10,521,15.1622,212,212,212
10,541,16.0604,212,212,212
10,561,16.2602,212,212,212
10,581,17.1577,212,212,212
10,601,17.457,212,212,212
10,621,18.0552,212,212,212
10,641,18.4541,212,212,212
10,661,19.1526,212,212,212
10,681,19.7514,212,212,212
10,701,20.2481,212,212,212
10,721,20.9063,212,212,212
10,741,21.3465,212,212,212
10,761,22.0409,212,212,212
10,781,22.5389,212,212,212
10,801,23.3408,212,212,212
10,821,23.4409,212,212,212
10,841,24.3368,212,212,212
10,861,24.8369,212,212,212
10,881,25.3355,212,212,212
10,901,26.2317,212,212,212
10,921,27.0312,212,212,212
10,941,27.6295,212,212,212
10,961,27.4268,212,212,212
10,981,27.626,212,212,212
18,1,0.09911,187,614,614
18,21,2.09432,187,251,251
18,41,4.08907,187,233,233
18,61,6.28656,187,233,233
18,81,8.08158,187,218,230
18,101,10.574,187,219,229
18,121,12.2709,187,213,227
18,141,14.3652,187,193,220
18,161,16.3594,187,202,217
18,181,18.7533,187,203,221
18,201,20.4475,187,212,219
18,221,22.3425,187,209,218
18,241,24.2354,187,199,217
18,261,26.1304,187,195,217
18,281,28.5275,187,205,220
18,301,30.5213,187,198,213
18,321,33.0156,187,193,208
18,341,34.8103,187,197,206
18,361,37.1036,187,198,210
18,381,38.7996,187,208,216
18,401,40.6951,187,198,209
18,421,42.6895,187,197,207
18,441,45.2818,187,194,211
18,461,47.4733,187,205,214
18,481,48.873,187,200,211
18,501,50.5676,187,200,211
18,521,52.8608,187,198,208
18,541,54.0517,187,199,209
18,561,57.151,187,200,207
18,581,59.0423,187,203,210
18,601,61.2409,187,195,207
18,621,62.7359,187,198,207
18,641,64.8302,187,187,208
18,661,67.0249,187,194,208
18,681,68.0181,187,198,209
18,701,70.4153,187,193,204
18,721,72.9043,187,201,207
18,741,73.7011,187,192,204
18,761,76.9979,187,199,208
18,781,79.7905,187,198,206
18,801,79.3878,187,199,208
18,821,83.2807,187,199,208
18,841,84.8768,187,187,205
18,861,89.1656,187,199,207
18,881,90.2591,187,198,208
18,901,93.8491,187,187,204
18,921,103.623,187,187,203
18,941,102.33,187,198,205
18,961,99.633,187,187,204
18,981,110.204,187,200,205
24,1,0.22216,1272,2825,2825
24,21,4.98669,1272,1383,1383
24,41,9.1742,1272,1347,1347
24,61,11.9716,1272,1347,1347
24,81,15.6619,1272,1347,1347
24,101,22.8419,1272,1289,1339
24,121,23.3409,1272,1286,1340
24,141,27.4294,1272,1314,1340
24,161,31.3201,1272,1312,1342
24,181,34.5079,1272,1317,1343
24,201,38.6997,1272,1323,1338
24,221,41.6878,1272,1328,1344
24,241,46.3799,1272,1289,1336
24,261,50.3687,1272,1289,1331
24,281,53.956,1272,1272,1338
24,301,58.9043,1272,1283,1328
24,321,61.5392,1272,1272,1330
24,341,66.3252,1272,1289,1331
24,361,70.0165,1272,1302,1334
24,381,74.104,1272,1289,1334
24,401,78.2908,1272,1272,1332
24,421,82.0843,1272,1289,1334
24,441,85.7737,1272,1298,1324
24,461,88.3668,1272,1289,1328
24,481,92.8125,1272,1289,1329
24,501,96.3463,1272,1314,1337
24,521,101.034,1272,1289,1327
24,541,104.923,1272,1272,1322
24,561,108.213,1272,1272,1322
24,581,113.5,1272,1289,1326
24,601,116.789,1272,1272,1321
24,621,120.778,1272,1272,1312
24,641,124.471,1272,1289,1328
24,661,128.16,1272,1302,1334
24,681,132.15,1272,1316,1331
24,701,136.239,1272,1302,1328
24,721,138.733,1272,1312,1330
24,741,142.222,1272,1289,1325
24,761,147.369,1272,1289,1317
24,781,150.502,1272,1289,1317
24,801,155.289,1272,1272,1315
24,821,157.54,1272,1272,1320
24,841,162.569,1272,1272,1311
24,861,165.758,1272,1272,1318
24,881,169.55,1272,1290,1326
