Parameter name,Repetitions,Time unit
patterns_number_to_cache,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,2.79587,212,212,212
10,3,3.09535,212,212,212
10,5,3.59062,212,212,212
10,7,3.68982,212,212,212
10,9,4.09102,212,212,212
10,11,4.44032,212,212,212
10,13,4.59153,212,212,212
10,15,4.69085,212,212,212
10,17,4.89046,212,212,212
10,19,5.28876,212,212,212
10,21,5.38816,212,212,212
10,23,5.48819,212,212,212
10,25,5.88681,212,212,212
10,27,5.98739,212,212,212
10,29,6.18201,212,212,212
10,31,6.38259,212,212,212
10,33,6.48384,212,212,212
10,35,6.68225,212,212,212
10,37,6.88556,212,212,212
10,39,6.97994,212,212,212
10,41,6.88491,212,212,212
10,43,7.18253,212,212,212
10,45,7.58202,212,212,212
10,47,7.38033,212,212,212
10,49,7.27994,212,212,212
10,51,7.58334,212,212,212
10,53,7.58326,212,212,212
10,55,7.7828,212,212,212
10,57,7.88222,212,212,212
10,59,7.88229,212,212,212
10,61,8.08233,212,212,212
10,63,8.28124,212,212,212
10,65,8.28046,212,212,212
10,67,8.27978,212,212,212
10,69,8.38086,212,212,212
10,71,8.58039,212,212,212
10,73,8.78336,212,212,212
10,75,8.77698,212,212,212
10,77,8.77679,212,212,212
10,79,8.68012,212,212,212
10,81,8.7803,212,212,212
10,83,8.57729,212,212,212
10,85,8.58063,212,212,212
10,87,8.88,212,212,212
10,89,8.77992,212,212,212
10,91,8.77993,212,212,212
10,93,9.07842,212,212,212
10,95,8.87915,212,212,212
10,97,10.0763,212,212,212
10,99,9.17892,212,212,212
18,1,9.67748,187,207,222
18,3,10.9735,187,216,228
18,5,12.27,187,223,230
18,7,12.8687,187,211,228
18,9,13.3676,187,214,226
18,11,14.2642,187,209,225
18,13,14.9632,187,209,226
18,15,15.359,187,221,231
18,17,15.7579,187,201,224
18,19,16.8541,187,211,228
18,21,16.9529,187,217,228
18,23,17.8522,187,205,224
18,25,17.8522,187,213,229
18,27,18.7485,187,201,225
18,29,19.5496,187,198,225
18,31,20.4495,187,206,224
18,33,20.5489,187,199,228
18,35,21.2453,187,215,227
18,37,21.6409,187,218,228
18,39,21.8415,187,212,227
18,41,22.4431,187,216,230
18,43,22.8388,187,214,228
18,45,22.9379,187,225,232
18,47,22.9386,187,218,229
18,49,23.4369,187,216,229
18,51,23.936,187,225,232
18,53,24.2351,187,229,232
18,55,25.236,187,214,228
18,57,25.1365,187,226,231
18,59,25.5317,187,222,231
18,61,25.8347,187,218,228
18,63,26.2875,187,211,225
18,65,26.5319,187,222,230
18,67,26.6326,187,209,225
18,69,26.7323,187,207,228
18,71,26.7316,187,214,226
18,73,26.6289,187,227,232
18,75,27.7297,187,219,230
18,77,27.5287,187,209,227
18,79,27.6294,187,206,224
18,81,27.5301,187,224,231
18,83,27.6876,187,205,228
18,85,28.426,187,216,227
18,87,28.4273,187,218,230
18,89,28.2246,187,206,224
18,91,29.1266,187,209,228
18,93,29.524,187,216,229
18,95,27.5265,187,218,229
18,97,28.0236,187,210,225
18,99,28.6853,187,209,226
24,1,18.1537,1272,1314,1343
24,3,21.1457,1272,1347,1347
24,5,23.64,1272,1347,1347
24,7,25.535,1272,1329,1345
24,9,28.3277,1272,1289,1341
24,11,30.124,1272,1347,1347
24,13,32.317,1272,1289,1341
24,15,33.9126,1272,1347,1347
24,17,36.1626,1272,1300,1338
24,19,38.1006,1272,1345,1346
24,21,39.8958,1272,1341,1346
24,23,41.3924,1272,1328,1343
24,25,41.489,1272,1344,1346
24,27,46.3746,1272,1318,1342
24,29,50.5648,1272,1328,1344
24,31,50.4648,1272,1328,1345
24,33,53.058,1272,1347,1347
24,35,52.459,1272,1347,1347
24,37,52.4631,1272,1304,1342
24,39,54.3549,1272,1347,1347
24,41,54.6532,1272,1302,1342
24,43,56.5476,1272,1334,1345
24,45,56.2997,1272,1347,1347
24,47,55.8532,1272,1336,1345
24,49,55.7538,1272,1347,1347
24,51,57.1495,1272,1336,1345
24,53,58.0478,1272,1347,1347
24,55,58.3469,1272,1347,1347
24,57,59.3953,1272,1343,1346
24,59,59.8438,1272,1347,1347
24,61,60.2417,1272,1318,1342
24,63,60.4422,1272,1347,1347
24,65,62.1365,1272,1347,1347
24,67,61.1364,1272,1347,1347
24,69,61.4392,1272,1347,1347
24,71,61.639,1272,1347,1347
24,73,62.2937,1272,1338,1346
24,75,62.2369,1272,1347,1347
24,77,62.9319,1272,1324,1343
24,79,63.1344,1272,1347,1347
24,81,63.2347,1272,1347,1347
24,83,64.6307,1272,1347,1347
24,85,65.1294,1272,1332,1345
24,87,64.03,1272,1289,1341
24,89,64.2303,1272,1329,1345
24,91,66.1265,1272,1317,1343
24,93,63.7323,1272,1309,1343
24,95,64.531,1272,1347,1347
24,97,62.832,1272,1347,1347
24,99,62.3338,1272,1347,1347
42,1,61.5344,699,699,699
42,3,71.5106,699,699,699
42,5,81.4824,699,699,699
42,7,85.9737,699,699,699
42,9,91.0606,699,699,699
42,11,95.5435,699,699,699
42,13,102.13,699,699,699
42,15,107.811,699,699,699
42,17,111.762,699,699,699
42,19,116.192,699,699,699
42,21,116.389,699,699,699
42,23,122.672,699,699,699
42,25,128.361,699,699,699
42,27,133.205,699,699,699
42,29,131.149,699,699,699
