Parameter name,Repetitions,Time unit
tabu_list_size,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,2.89604,212,212,212
10,3,2.9954,212,212,212
10,5,2.99513,212,212,212
10,7,3.19074,212,212,212
10,9,3.39091,212,212,212
10,11,3.3897,212,212,212
10,13,3.58865,212,212,212
10,15,3.59037,212,212,212
10,17,3.19449,212,212,212
10,19,2.89559,212,212,212
10,21,2.89374,212,212,212
10,23,2.99413,212,212,212
10,25,2.99492,212,212,212
10,27,2.99557,212,212,212
10,29,2.99103,212,212,212
10,31,2.99565,212,212,212
10,33,2.8963,212,212,212
10,35,2.89531,212,212,212
10,37,3.39048,212,212,212
10,39,3.68995,212,212,212
10,41,3.59041,212,212,212
10,43,3.59017,212,212,212
10,45,3.78825,212,212,212
10,47,3.09446,212,212,212
10,49,2.99374,212,212,212
10,51,2.99592,212,212,212
10,53,2.99026,212,212,212
10,55,2.99598,212,212,212
10,57,2.89603,212,212,212
10,59,2.89566,212,212,212
10,61,2.79237,212,212,212
10,63,2.89222,212,212,212
10,65,2.99231,212,212,212
10,67,2.99592,212,212,212
10,69,3.09573,212,212,212
10,71,2.89508,212,212,212
10,73,3.49082,212,212,212
10,75,3.58926,212,212,212
10,77,3.69015,212,212,212
10,79,3.59047,212,212,212
10,81,3.29002,212,212,212
10,83,2.99382,212,212,212
10,85,2.9952,212,212,212
10,87,2.89551,212,212,212
10,89,2.89559,212,212,212
10,91,2.79277,212,212,212
10,93,2.89162,212,212,212
10,95,2.79253,212,212,212
10,97,2.89167,212,212,212
10,99,2.79252,212,212,212
18,1,10.0729,187,239,253
18,3,11.8662,187,213,228
18,5,12.3668,187,205,224
18,7,10.5748,187,221,231
18,9,10.3756,187,198,224
18,11,10.173,187,204,226
18,13,10.0722,187,224,232
18,15,10.5717,187,218,230
18,17,12.2671,187,229,232
18,19,11.4688,187,221,230
18,21,9.97337,187,193,221
18,23,9.97306,187,206,222
18,25,10.175,187,222,229
18,27,10.2227,187,221,230
18,29,10.1701,187,222,231
18,31,10.1728,187,197,228
18,33,10.3724,187,214,229
18,35,10.1757,187,193,224
18,37,10.0764,187,216,230
18,39,10.7698,187,204,225
18,41,10.0764,187,207,221
18,43,10.2753,187,211,228
18,45,10.2757,187,198,223
18,47,10.2725,187,197,225
18,49,10.5721,187,212,227
18,51,10.4718,187,209,228
18,53,10.5719,187,205,227
18,55,10.1701,187,200,222
18,57,9.9734,187,206,226
18,59,10.6746,187,207,229
18,61,10.2749,187,206,228
18,63,10.2749,187,218,228
18,65,10.3749,187,199,226
18,67,10.3756,187,218,231
18,69,10.2765,187,221,230
18,71,10.2762,187,207,228
18,73,10.0725,187,218,229
18,75,10.1744,187,232,232
18,77,10.2752,187,211,226
18,79,10.3754,187,213,226
18,81,10.3759,187,208,224
18,83,10.2764,187,223,230
18,85,10.0731,187,223,230
18,87,10.2728,187,205,224
18,89,10.2758,187,218,229
18,91,10.4739,187,209,227
18,93,10.374,187,212,226
18,95,10.4748,187,202,226
18,97,10.0732,187,208,225
18,99,10.4747,187,202,227
24,1,18.4104,1272,1383,1383
24,3,19.6504,1272,1341,1346
24,5,19.6509,1272,1294,1339
24,7,19.747,1272,1347,1347
24,9,19.4498,1272,1341,1346
24,11,19.5508,1272,1317,1342
24,13,18.9483,1272,1336,1345
24,15,19.5511,1272,1321,1343
24,17,19.6508,1272,1317,1343
24,19,19.4509,1272,1305,1340
24,21,19.551,1272,1338,1346
24,23,19.0492,1272,1302,1342
24,25,19.2481,1272,1324,1344
24,27,19.1489,1272,1347,1347
24,29,19.7487,1272,1327,1344
24,31,19.3515,1272,1347,1347
24,33,19.45,1272,1336,1345
24,35,19.6475,1272,1347,1347
24,37,19.5508,1272,1347,1347
24,39,19.5477,1272,1317,1341
24,41,19.8495,1272,1347,1347
24,43,19.6508,1272,1347,1347
24,45,19.85,1272,1289,1339
24,47,19.6058,1272,1347,1347
24,49,19.7499,1272,1298,1342
24,51,19.4511,1272,1272,1339
24,53,19.5492,1272,1335,1345
24,55,19.4511,1272,1320,1344
24,57,19.7505,1272,1347,1347
24,59,19.6505,1272,1347,1347
24,61,19.6503,1272,1347,1347
24,63,19.1489,1272,1289,1338
24,65,19.1487,1272,1320,1343
24,67,19.9493,1272,1347,1347
24,69,19.4481,1272,1332,1345
24,71,19.6507,1272,1316,1343
24,73,19.3521,1272,1290,1336
24,75,19.551,1272,1347,1347
24,77,19.85,1272,1317,1343
24,79,19.5511,1272,1347,1347
24,81,19.1478,1272,1347,1347
24,83,19.6503,1272,1347,1347
24,85,19.3513,1272,1317,1342
24,87,19.85,1272,1305,1341
24,89,19.7506,1272,1347,1347
24,91,19.8472,1272,1347,1347
24,93,19.5504,1272,1347,1347
24,95,19.8503,1272,1336,1345
24,97,19.6501,1272,1345,1346
24,99,19.651,1272,1347,1347
42,1,61.5388,699,699,699
42,3,64.8297,699,699,699
42,5,66.7202,699,699,699
42,7,68.9199,699,699,699
42,9,67.0202,699,699,699
42,11,66.5192,699,699,699
42,13,66.9699,699,699,699
42,15,66.7215,699,699,699
42,17,68.221,699,699,699
42,19,68.6193,699,699,699
42,21,68.7194,699,699,699
42,23,69.0158,699,699,699
42,25,69.2188,699,699,699
42,27,69.3176,699,699,699
42,29,69.1156,699,699,699
42,31,68.9143,699,699,699
42,33,69.1179,699,699,699
42,35,68.7194,699,699,699
42,37,68.9192,699,699,699
42,39,69.0187,699,699,699
42,41,68.52,699,699,699
42,43,69.4146,699,699,699
42,45,68.7195,699,699,699
42,47,68.6199,699,699,699
42,49,66.7208,699,699,699
42,51,67.1222,699,699,699
42,53,68.3775,699,699,699
42,55,69.1187,699,699,699
42,57,67.5198,699,699,699
42,59,69.3149,699,699,699
42,61,69.0181,699,699,699
42,63,68.816,699,699,699
42,65,69.1186,699,699,699
42,67,69.0189,699,699,699
42,69,68.7193,699,699,699
42,71,68.6194,699,699,699
42,73,68.7185,699,699,699
42,75,68.8763,699,699,699
42,77,68.52,699,699,699
42,79,66.9211,699,699,699
42,81,69.0188,699,699,699
42,83,69.0188,699,699,699
42,85,69.3178,699,699,699
42,87,69.1184,699,699,699
42,89,68.9188,699,699,699
42,91,68.7196,699,699,699
42,93,66.7217,699,699,699
42,95,68.8189,699,699,699
42,97,69.5175,699,699,699
42,99,69.1173,699,699,699
65,1,161.771,1839,2554,2554
65,3,172.501,1839,2476,2476
