Parameter name,Repetitions,Time unit
population_size,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
34,2,88.5522,1286,3356,3744
34,9,287.362,1286,3270,3439
34,16,506.558,1286,1517,1666
34,23,726.417,1286,1459,1594
34,30,939.707,1286,1398,1575
34,37,1128.11,1286,1392,1508
34,44,1378.32,1286,1446,1528
34,51,1582.45,1286,1342,1465
34,58,1852.49,1286,1348,1407
34,65,2021.21,1286,1336,1398
34,72,2281.01,1286,1329,1412
34,79,2512.28,1286,1286,1408
34,86,2726.93,1286,1373,1406
34,93,2967.05,1286,1324,1384
34,100,3161.2,1286,1361,1420
34,107,3777.16,1286,1358,1408
34,114,4464.62,1286,1364,1413
34,121,4776.64,1286,1286,1411
34,128,5109.13,1286,1324,1403
34,135,5384.27,1286,1364,1434
34,142,5836.55,1286,1345,1412
34,149,6258.01,1286,1329,1416
34,156,6050.99,1286,1373,1453
34,163,5892.49,1286,1354,1428
34,170,6183.73,1286,1347,1418
34,177,6299.21,1286,1340,1451
34,184,6561.95,1286,1329,1434
34,191,6643.96,1286,1302,1420
34,198,6976.9,1286,1286,1424
70,2,238.619,38673,66300,68105
70,9,1005.8,38673,64921,65885
70,16,1891.46,38673,44977,47141
70,23,2621.33,38673,45361,46426
70,30,3599.59,38673,43931,45132
70,37,4280.38,38673,42946,44036
70,44,5282.83,38673,41555,42663
70,51,5998.85,38673,41532,42571
70,58,6965.27,38673,41030,42513
70,65,7148.64,38673,41878,42858
70,72,8619.71,38673,42295,43101
70,79,8584.95,38673,42465,43276
70,86,9460.05,38673,42204,43798
70,93,10163.4,38673,43201,44256
70,100,11016.1,38673,43231,44307
70,107,11667.1,38673,43619,44764
70,114,12568.7,38673,43642,44879
70,121,13257.1,38673,43515,45040
70,128,14135.8,38673,42317,44639
70,135,14838.5,38673,44166,45001
70,142,15635.9,38673,44475,46174
70,149,16355.5,38673,44812,46051
70,156,17209.5,38673,44906,46168
70,163,17877.4,38673,45306,46568
70,170,18838.1,38673,45769,46825
70,177,19506.8,38673,45579,46432
70,184,20340,38673,44661,46865
70,191,21013.5,38673,45152,46810
70,198,21915.1,38673,46767,47677
100,2,425.633,36230,162039,173655
100,9,1746.71,36230,159488,163367
100,16,3380.52,36230,64384,72005
100,23,4692.8,36230,60801,66511
100,30,6398.43,36230,56508,61359
100,37,8667.04,36230,55290,57004
100,44,10011.2,36230,49768,53157
100,51,10651.5,36230,49046,51275
100,58,12353.7,36230,49363,52476
100,65,13627.4,36230,52406,54812
100,72,15411.5,36230,54514,56870
100,79,16838.8,36230,53068,55745
100,86,18430.4,36230,52807,57136
100,93,19674.7,36230,54080,59168
100,100,21337.6,36230,57320,60842
100,107,22548.5,36230,57040,60460
100,114,24367.3,36230,56999,60879
100,121,25777.2,36230,57457,62279
100,128,27415.5,36230,56282,62686
100,135,28698.7,36230,58193,64748
100,142,30272.9,36230,60474,65746
100,149,31568.5,36230,59950,63993
100,156,33333.9,36230,62387,67082
100,163,34531.5,36230,60676,64997
100,170,36274.6,36230,63324,66140
100,177,37586.2,36230,63155,67034
100,184,39311,36230,63961,67379
100,191,40590.5,36230,64163,67344
100,198,42189,36230,64131,68663
