Parameter name,Repetitions,Time unit
tournament_size,5,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
34,1,1572.26,1286,1363,1441
34,4,1682.29,1286,1406,1515
34,7,1611.16,1286,1492,1670
34,10,1647.12,1286,1421,1527
34,13,1713.23,1286,1467,1547
34,16,1700.07,1286,1486,1684
34,19,1718.14,1286,1576,1590
34,22,1747.56,1286,1548,1619
34,25,1796.41,1286,1386,1529
34,28,1867.74,1286,1544,1600
34,31,1818.93,1286,1492,1638
34,34,1840.44,1286,1588,1682
34,37,1862.06,1286,1454,1540
34,40,1894.46,1286,1408,1639
34,43,1929.19,1286,1520,1574
34,46,1966.5,1286,1483,1731
34,49,2019.68,1286,1484,1533
70,1,5471.82,38673,41749,42293
70,4,5537.64,38673,44108,44602
70,7,5604.77,38673,43347,44392
70,10,5544.58,38673,43336,44893
70,13,5645.38,38673,44395,45701
70,16,5604.81,38673,43383,44978
70,19,5771.11,38673,44301,45467
70,22,5669.33,38673,43227,44592
70,25,5676.87,38673,42916,44847
70,28,5752.55,38673,43413,45138
70,31,5720.96,38673,44361,45349
70,34,5836.03,38673,44322,45372
70,37,5770.02,38673,45082,45653
70,40,5859.05,38673,43495,44491
70,43,5789.48,38673,44683,45188
70,46,5921.59,38673,44585,45364
70,49,5839.89,38673,45280,45722
100,1,10698.5,36230,47607,50941
100,4,10708,36230,55096,58217
100,7,10615.5,36230,61700,62929
100,10,10722.4,36230,62542,64239
100,13,10774.1,36230,55077,59414
100,16,10783.4,36230,57183,60161
100,19,10811.3,36230,56820,62259
100,22,10856.8,36230,57532,61699
100,25,10784.6,36230,57611,61381
100,28,10855.9,36230,61519,62994
100,31,10964.6,36230,59250,62619
100,34,10950.1,36230,60751,63937
100,37,10996.1,36230,58793,62302
100,40,10944,36230,58647,62486
100,43,11009.8,36230,59318,62723
100,46,11074.7,36230,61351,65676
100,49,11094.4,36230,64370,66192
