Parameter name,Repetitions,Time unit
crossover_probability,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
34,0,120.406,1286,1440,1610
34,0.02,153.456,1286,1400,1611
34,0.04,197.216,1286,1483,1582
34,0.06,217.627,1286,1482,1622
34,0.08,248.634,1286,1571,1678
34,0.1,284.445,1286,1417,1619
34,0.12,314.554,1286,1531,1637
34,0.14,348.942,1286,1370,1549
34,0.16,378.519,1286,1452,1609
34,0.18,411.349,1286,1391,1556
34,0.2,442.601,1286,1459,1599
34,0.22,516.313,1286,1349,1551
34,0.24,507.169,1286,1358,1590
34,0.26,537.871,1286,1387,1533
34,0.28,569.349,1286,1493,1606
34,0.3,599.317,1286,1430,1590
34,0.32,633.412,1286,1332,1545
34,0.34,668.199,1286,1398,1572
34,0.36,694.949,1286,1439,1624
34,0.38,731.704,1286,1451,1574
34,0.4,763.322,1286,1478,1579
34,0.42,852.036,1286,1389,1581
34,0.44,831.056,1286,1461,1599
34,0.46,854.488,1286,1417,1586
34,0.48,887.296,1286,1400,1488
34,0.5,922.304,1286,1455,1577
34,0.52,949.233,1286,1426,1553
34,0.54,985.582,1286,1399,1570
34,0.56,1065.13,1286,1375,1501
34,0.58,1059.35,1286,1483,1575
34,0.6,1081.24,1286,1421,1549
34,0.62,1114.24,1286,1442,1526
34,0.64,1146.36,1286,1329,1503
34,0.66,1177.96,1286,1401,1514
34,0.68,1249.86,1286,1359,1499
34,0.7,1235.34,1286,1420,1491
34,0.72,1287.14,1286,1393,1517
34,0.74,1301.21,1286,1345,1528
34,0.76,1334.57,1286,1432,1530
34,0.78,1431.62,1286,1364,1528
34,0.8,1400.5,1286,1410,1468
34,0.82,1429.32,1286,1425,1506
34,0.84,1465.72,1286,1405,1475
34,0.86,1496.72,1286,1399,1491
34,0.88,1568.3,1286,1424,1491
34,0.9,1560.02,1286,1352,1460
34,0.92,1589.73,1286,1345,1459
34,0.94,1620.1,1286,1332,1452
34,0.96,1709.35,1286,1286,1411
34,0.98,1686.19,1286,1352,1466
70,0,159.574,38673,45268,46850
70,0.02,276.758,38673,44992,45946
70,0.04,403.277,38673,44808,46615
70,0.06,517.067,38673,44891,45764
70,0.08,636.844,38673,45054,46270
70,0.1,754.655,38673,44993,46163
70,0.12,861.772,38673,43867,45658
70,0.14,1048.13,38673,43599,45732
70,0.16,1109.9,38673,43464,45264
70,0.18,1219.38,38673,44195,45778
70,0.2,1329.34,38673,43677,45281
70,0.22,1455.94,38673,44166,45247
70,0.24,1614.69,38673,44129,45544
70,0.26,1694.44,38673,43870,45481
70,0.28,1829.87,38673,44446,45473
70,0.3,1936.43,38673,44254,45206
70,0.32,2088.93,38673,43782,44938
70,0.34,2156.79,38673,44393,45598
70,0.36,2288.28,38673,43946,44808
70,0.38,2446.71,38673,43184,45247
70,0.4,2527.7,38673,43196,44283
70,0.42,2754.2,38673,43633,45247
70,0.44,2751.4,38673,43764,44925
70,0.46,2906.08,38673,42594,44624
70,0.48,2998.5,38673,42506,44633
70,0.5,3129.73,38673,43224,44511
70,0.52,3271.61,38673,42646,44558
70,0.54,3341.13,38673,43251,44221
70,0.56,3517.11,38673,42652,44071
70,0.58,3618.38,38673,42193,44340
70,0.6,3707.15,38673,43139,43935
70,0.62,3867.01,38673,42694,43604
70,0.64,3914.6,38673,42199,43912
70,0.66,4091.31,38673,42352,43268
70,0.68,4210.03,38673,42254,43368
70,0.7,4285.76,38673,41983,43279
70,0.72,4448.38,38673,41904,42944
70,0.74,4541.88,38673,42883,43683
70,0.76,4639.52,38673,42591,43331
70,0.78,4787.2,38673,41559,42876
70,0.8,4941.1,38673,42121,42792
70,0.82,5031.35,38673,41807,42773
70,0.84,5137.73,38673,41624,42370
70,0.86,5261.77,38673,41917,43023
70,0.88,5392.46,38673,41846,42541
70,0.9,5512.06,38673,41454,42328
70,0.92,5653.01,38673,41206,42348
70,0.94,5699.04,38673,42246,42605
70,0.96,5863.98,38673,41471,42516
70,0.98,5987.31,38673,41229,42511
100,0,195.103,36230,72140,75843
100,0.02,421.306,36230,66692,75160
100,0.04,660.752,36230,67351,71661
100,0.06,930.155,36230,68309,73974
100,0.08,1100.82,36230,68766,72104
100,0.1,1344.25,36230,66748,71521
100,0.12,1574.16,36230,63666,70206
100,0.14,1809.19,36230,67146,71212
100,0.16,2086.3,36230,64656,70546
100,0.18,2283.38,36230,65241,68401
100,0.2,2533.91,36230,64554,68001
100,0.22,2775.02,36230,62217,67676
100,0.24,2946.69,36230,63643,67816
100,0.26,3223.5,36230,62153,66537
100,0.28,3422.07,36230,62070,65737
100,0.3,3694.89,36230,62603,65907
100,0.32,3906.14,36230,57147,63669
100,0.34,4090.7,36230,59090,64562
100,0.36,4390.81,36230,57519,64045
100,0.38,4607.35,36230,56152,60995
100,0.4,4810.48,36230,57871,62113
100,0.42,5085.29,36230,59091,62542
100,0.44,5334.84,36230,56858,61117
100,0.46,5575.8,36230,55939,58839
100,0.48,5777.18,36230,55006,59933
100,0.5,5957.46,36230,54615,59997
100,0.52,6222.41,36230,52267,59022
100,0.54,6463.65,36230,57152,59906
100,0.56,6682.01,36230,54836,57573
100,0.58,6932.55,36230,54018,58595
100,0.6,7143.49,36230,54081,57845
100,0.62,7388.47,36230,53734,57358
100,0.64,7593.35,36230,54827,57213
100,0.66,7838.79,36230,52770,56847
100,0.68,8076.24,36230,52827,56776
100,0.7,8315.14,36230,50977,54478
100,0.72,8605.37,36230,51005,54035
100,0.74,8741.79,36230,50765,54240
100,0.76,9010.62,36230,52522,54386
100,0.78,9232.83,36230,50803,53941
100,0.8,9458.2,36230,51433,53021
100,0.82,9738.51,36230,48122,51452
100,0.84,9933.05,36230,49076,52497
100,0.86,10306.2,36230,46735,52268
100,0.88,10424.6,36230,49050,52045
100,0.9,10715.8,36230,49139,51652
100,0.92,10955,36230,48024,53020
100,0.94,11149.4,36230,48964,51504
100,0.96,11390.1,36230,50303,52025
100,0.98,11571.7,36230,48250,50512
