Parameter name,Repetitions,Time unit
elites,5,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
34,0,1619.07,1286,3006,3115
34,3,1569.05,1286,1419,1536
34,6,1566.27,1286,1342,1397
34,9,1559.88,1286,1363,1452
34,12,1561.69,1286,1419,1503
34,15,1556.48,1286,1373,1448
34,18,1564.99,1286,1391,1521
34,21,1559.01,1286,1336,1504
34,24,1631.96,1286,1427,1503
34,27,1558.67,1286,1367,1471
34,30,1561.91,1286,1454,1511
34,33,1559.19,1286,1374,1532
34,36,1562.51,1286,1387,1554
34,39,1562.86,1286,1467,1528
34,42,1562.06,1286,1491,1557
34,45,1564.28,1286,1345,1454
34,48,1656.24,1286,1397,1532
70,0,5484.16,38673,63504,64288
70,3,5449.78,38673,47397,49874
70,6,5539.31,38673,43263,44667
70,9,5462.38,38673,41474,42721
70,12,5557.83,38673,42647,42908
70,15,5462.26,38673,42870,43433
70,18,5454.02,38673,41216,43471
70,21,5568.1,38673,42866,44067
70,24,5489.87,38673,42680,43610
70,27,5540.48,38673,42542,43147
70,30,5477.78,38673,41626,43197
70,33,5554.34,38673,42809,43251
70,36,5505.76,38673,43165,43709
70,39,5468.06,38673,42858,43384
70,42,5587.09,38673,42956,43838
70,45,5468.8,38673,42736,43491
70,48,5531.88,38673,42469,43984
100,0,10547.4,36230,153517,155103
100,3,10685.9,36230,81387,83194
100,6,10644.6,36230,56879,60493
100,9,10663.6,36230,51648,53768
100,12,10598.2,36230,49798,51139
100,15,10574.9,36230,49443,53894
100,18,10638.6,36230,51784,54412
100,21,10644,36230,53586,55438
100,24,10636.8,36230,53371,54425
100,27,10623.1,36230,50316,53496
100,30,10565.3,36230,50103,55336
100,33,10659.2,36230,51546,54064
100,36,10662.4,36230,53295,56026
100,39,10725.8,36230,54247,56491
100,42,10632.4,36230,53915,55370
100,45,10652.3,36230,54098,56068
100,48,10577,36230,52917,58118
