Parameter name,Repetitions,Time unit
generations,7,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
34,1,3.67009,1286,3452,3734
34,80,127.893,1286,1774,2031
34,159,251.534,1286,1453,1656
34,238,373.832,1286,1452,1604
34,317,497.332,1286,1323,1459
34,396,619.328,1286,1314,1489
34,475,742.802,1286,1401,1472
34,554,868.653,1286,1410,1492
34,633,990.793,1286,1387,1451
34,712,1186.6,1286,1340,1435
34,791,1229.4,1286,1379,1455
34,870,1353.71,1286,1339,1426
34,949,1482.6,1286,1340,1496
34,1028,1600.21,1286,1381,1452
34,1107,1734.3,1286,1386,1466
34,1186,1911.31,1286,1377,1428
34,1265,1969.3,1286,1399,1453
34,1344,2126.12,1286,1459,1485
34,1423,2217.79,1286,1373,1440
34,1502,2380.96,1286,1405,1489
34,1581,2484.52,1286,1375,1466
34,1660,2582.87,1286,1392,1440
34,1739,2705.6,1286,1415,1445
34,1818,2902.46,1286,1390,1435
34,1897,2953.14,1286,1380,1441
34,1976,3074.51,1286,1385,1482
70,1,5.93986,38673,66788,67907
70,80,437.111,38673,52977,54184
70,159,875.263,38673,48021,49775
70,238,1361.64,38673,46424,47281
70,317,1735.02,38673,45436,46384
70,396,2164.27,38673,44938,46237
70,475,2596.93,38673,44286,45102
70,554,3106.48,38673,42749,43746
70,633,3456.92,38673,42881,43559
70,712,3905.04,38673,42063,43269
70,791,4398,38673,41821,43176
70,870,4766.99,38673,41495,42644
70,949,5255.4,38673,41954,42699
70,1028,5683.67,38673,41238,41964
70,1107,6084.23,38673,41489,41740
70,1186,6536.04,38673,41657,42247
70,1265,6984.46,38673,40427,41723
70,1344,7358.85,38673,41293,41655
70,1423,7883.14,38673,40295,41398
70,1502,8306.94,38673,40749,41652
70,1581,8715.8,38673,40367,41712
70,1660,9141.6,38673,41108,41284
70,1739,9584.82,38673,41009,41533
70,1818,10032.5,38673,41200,41552
70,1897,10426.8,38673,40828,41612
70,1976,10858.1,38673,40405,41282
100,1,12.6445,36230,167439,170878
100,80,843.667,36230,107623,111825
100,159,1763.96,36230,87703,92274
100,238,2539.08,36230,79771,82202
100,317,3380.62,36230,71239,73578
100,396,4294.84,36230,65593,69292
100,475,5026.14,36230,59662,62799
100,554,5932.8,36230,59400,62016
100,633,6795.37,36230,53956,58454
100,712,7587.6,36230,54462,56483
100,791,8468.37,36230,50893,56401
100,870,9312.24,36230,49095,52564
100,949,10198.3,36230,47946,52068
100,1028,11078,36230,49598,50986
100,1107,11818.2,36230,48580,51415
100,1186,12740.7,36230,47391,50544
100,1265,13536.1,36230,47886,49825
100,1344,14253.4,36230,46412,48127
100,1423,15173,36230,46391,48899
100,1502,15915.6,36230,46389,47989
100,1581,16828.2,36230,43525,46122
100,1660,17735,36230,45146,47604
100,1739,18544.8,36230,45784,47505
100,1818,19336.4,36230,44702,46641
100,1897,20175.4,36230,45667,48102
100,1976,21000.4,36230,44010,45812
