Parameter name,Repetitions,Time unit
mutation_probability,5,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
34,0,1563.26,1286,1615,1732
34,0.04,1565.54,1286,1402,1543
34,0.08,1601.74,1286,1385,1456
34,0.12,1592.26,1286,1332,1417
34,0.16,1649.99,1286,1364,1433
34,0.2,1591.96,1286,1364,1397
34,0.24,1589.99,1286,1345,1412
34,0.28,1589.86,1286,1345,1390
34,0.32,1588.12,1286,1342,1435
34,0.36,1594.26,1286,1302,1406
34,0.4,1585.53,1286,1363,1411
34,0.44,1587.59,1286,1391,1473
34,0.48,1616.87,1286,1324,1407
34,0.52,1673.58,1286,1416,1449
34,0.56,1596.23,1286,1345,1419
34,0.6,1601.38,1286,1329,1393
34,0.64,1597.96,1286,1415,1476
34,0.68,1599.05,1286,1392,1461
34,0.72,1603.57,1286,1398,1494
34,0.76,1602.16,1286,1370,1456
34,0.8,1601.15,1286,1376,1424
34,0.84,1683.31,1286,1395,1462
34,0.88,1599.02,1286,1413,1442
34,0.92,1601.15,1286,1473,1570
34,0.96,1598.87,1286,1480,1525
70,0,5489.39,38673,43506,44885
70,0.04,5601.54,38673,41714,42611
70,0.08,5564.4,38673,41667,42358
70,0.12,5596.32,38673,41687,42350
70,0.16,5517.26,38673,40625,42339
70,0.2,5544.29,38673,41964,42434
70,0.24,5577.95,38673,42317,43365
70,0.28,5530.16,38673,41714,43220
70,0.32,5584.21,38673,42748,43498
70,0.36,5534.53,38673,42772,43235
70,0.4,5579.75,38673,43526,44142
70,0.44,5527.04,38673,42912,43790
70,0.48,5511.61,38673,42965,43428
70,0.52,5617.45,38673,42828,43988
70,0.56,5516.47,38673,42236,43815
70,0.6,5629.18,38673,43707,44469
70,0.64,5531.71,38673,43679,44360
70,0.68,5610.23,38673,43490,45203
70,0.72,5516.6,38673,43689,45006
70,0.76,5498.14,38673,44199,45616
70,0.8,5585.62,38673,44148,45754
70,0.84,5567.6,38673,45228,45899
70,0.88,5619.71,38673,45691,46097
70,0.92,5591.94,38673,44934,46172
70,0.96,5607.52,38673,45943,46666
100,0,10700.3,36230,57427,60752
100,0.04,10753.4,36230,50304,52773
100,0.08,10833,36230,51214,53868
100,0.12,10833.2,36230,49167,52435
100,0.16,10819.4,36230,51072,53177
100,0.2,10766,36230,49321,52669
100,0.24,10771.1,36230,51603,53558
100,0.28,10803.7,36230,51407,53514
100,0.32,10809.1,36230,55813,58181
100,0.36,10770.3,36230,52807,54877
100,0.4,10757.2,36230,49906,54595
100,0.44,10624.9,36230,53016,56192
100,0.48,10742.1,36230,55891,57102
100,0.52,10766.3,36230,57389,59597
100,0.56,10710.9,36230,54220,59795
100,0.6,10696.7,36230,55357,59635
100,0.64,10637.2,36230,56245,61602
100,0.68,10711.5,36230,59883,62819
100,0.72,10715.3,36230,61329,64459
100,0.76,10762.5,36230,62453,64678
100,0.8,10744.3,36230,65197,67360
100,0.84,10672.3,36230,62122,65657
100,0.88,10742.5,36230,61627,65420
100,0.92,10796.9,36230,66018,69227
100,0.96,10746.7,36230,71491,73549
