Parameter name,Repetitions,Time unit
geometric_cooling_scheme,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,0.01,396.293,212,212,224
10,0.0296,368.478,212,212,232
10,0.0492,358.143,212,212,234
10,0.0688,357.102,212,212,231
10,0.0884,360.735,212,212,219
10,0.108,365.327,212,212,218
10,0.1276,364.43,212,212,218
10,0.1472,355.848,212,212,222
10,0.1668,360.834,212,212,230
10,0.1864,359.8,212,212,221
10,0.206,353.355,212,212,217
10,0.2256,357.806,212,212,212
10,0.2452,357.249,212,212,221
10,0.2648,357.747,212,212,226
10,0.2844,350.323,212,212,229
10,0.304,345.325,212,212,228
10,0.3236,349.819,212,212,212
10,0.3432,354.356,212,212,217
10,0.3628,383.075,212,212,220
10,0.3824,356.051,212,212,212
10,0.402,349.171,212,212,217
10,0.4216,347.232,212,212,222
10,0.4412,348.73,212,212,214
10,0.4608,343.882,212,212,212
10,0.4804,344.981,212,212,215
10,0.5,345.08,212,212,212
10,0.5196,341.09,212,212,217
10,0.5392,334.306,212,212,212
10,0.5588,343.086,212,212,219
10,0.5784,345.236,212,212,214
10,0.598,342.447,212,212,214
10,0.6176,344.579,212,212,212
10,0.6372,341.45,212,212,212
10,0.6568,334.46,212,212,212
10,0.6764,345.538,212,212,214
10,0.696,333.608,212,212,212
10,0.7156,341.824,212,212,212
10,0.7352,363.785,212,212,212
10,0.7548,352.561,212,212,212
10,0.7744,344.982,212,212,212
10,0.794,341.741,212,212,212
10,0.8136,342.34,212,212,212
10,0.8332,345.177,212,212,212
10,0.8528,341.092,212,212,212
10,0.8724,344.044,212,212,214
10,0.892,344.381,212,212,212
10,0.9116,346.934,212,212,212
10,0.9312,346.137,212,212,212
10,0.9508,347.375,212,212,212
10,0.9704,343.935,212,212,212
10,0.99,351.511,212,212,212
18,0.01,361.89,187,239,264
18,0.0296,362.036,187,213,295
18,0.0492,363.39,187,242,268
18,0.0688,362.887,187,247,284
18,0.0884,371.61,187,229,281
18,0.108,386.67,187,204,252
18,0.1276,357.644,187,209,273
18,0.1472,355.752,187,250,282
18,0.1668,356.949,187,249,281
18,0.1864,357.344,187,217,255
18,0.206,357.407,187,241,268
18,0.2256,355.312,187,226,258
18,0.2452,354.552,187,212,260
18,0.2648,352.51,187,247,271
18,0.2844,356.451,187,227,265
18,0.304,350.724,187,228,261
18,0.3236,352.818,187,234,263
18,0.3432,345.975,187,229,261
18,0.3628,343.236,187,220,266
18,0.3824,351.721,187,236,263
18,0.402,348.787,187,237,263
18,0.4216,348.032,187,224,260
18,0.4412,347.234,187,205,251
18,0.4608,369.317,187,231,262
18,0.4804,354.955,187,232,265
18,0.5,334.406,187,224,254
18,0.5196,344.241,187,219,260
18,0.5392,333.808,187,229,254
18,0.5588,342.147,187,234,256
18,0.5784,340.946,187,239,261
18,0.598,342.387,187,226,244
18,0.6176,343.145,187,233,254
18,0.6372,333.058,187,225,253
18,0.6568,338.1,187,235,261
18,0.6764,334.209,187,231,265
18,0.696,342.546,187,205,245
18,0.7156,337.597,187,224,255
18,0.7352,333.359,187,239,256
18,0.7548,346.677,187,239,251
18,0.7744,343.878,187,238,257
18,0.794,342.683,187,203,244
18,0.8136,342.987,187,228,247
18,0.8332,353.954,187,216,236
18,0.8528,366.424,187,226,253
18,0.8724,337.298,187,210,245
18,0.892,337.099,187,218,239
18,0.9116,338.697,187,228,243
18,0.9312,344.682,187,213,231
18,0.9508,344.488,187,194,224
18,0.9704,346.378,187,207,226
18,0.99,358.246,187,210,217
24,0.01,356.75,1272,1429,1524
24,0.0296,351.212,1272,1345,1446
24,0.0492,356.406,1272,1345,1467
24,0.0688,351.864,1272,1411,1564
24,0.0884,353.256,1272,1286,1470
24,0.108,354.452,1272,1346,1463
24,0.1276,355.354,1272,1324,1517
24,0.1472,347.021,1272,1290,1442
24,0.1668,355.055,1272,1408,1481
24,0.1864,356.052,1272,1355,1484
24,0.206,379.003,1272,1409,1517
24,0.2256,369.475,1272,1375,1526
24,0.2452,354.253,1272,1336,1475
24,0.2648,352.516,1272,1343,1453
24,0.2844,343.082,1272,1341,1444
24,0.304,347.276,1272,1294,1448
24,0.3236,351.265,1272,1362,1461
24,0.3432,348.323,1272,1331,1480
24,0.3628,338.845,1272,1376,1458
24,0.3824,345.58,1272,1392,1481
24,0.402,345.679,1272,1290,1471
24,0.4216,337.797,1272,1298,1379
24,0.4412,335.354,1272,1298,1459
24,0.4608,333.758,1272,1294,1419
24,0.4804,340.793,1272,1298,1448
24,0.5,339.493,1272,1341,1431
24,0.5196,333.907,1272,1290,1449
24,0.5392,336.301,1272,1344,1430
24,0.5588,338.499,1272,1272,1383
24,0.5784,364.127,1272,1306,1453
24,0.598,352.519,1272,1355,1445
24,0.6176,340.992,1272,1289,1385
24,0.6372,342.547,1272,1317,1389
24,0.6568,342.642,1272,1347,1392
24,0.6764,342.283,1272,1278,1406
24,0.696,337.498,1272,1317,1375
24,0.7156,341.99,1272,1345,1378
