Parameter name,Repetitions,Time unit
iterations_number,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,0.39894,212,247,285
10,201,72.5095,212,212,212
10,401,140.427,212,212,212
10,601,209.643,212,212,212
10,801,277.462,212,212,212
10,1001,344.84,212,212,212
10,1201,414.296,212,212,212
10,1401,480.975,212,212,212
10,1601,555.478,212,212,212
10,1801,620.145,212,212,212
10,2001,708.326,212,212,212
10,2201,820.71,212,212,212
10,2401,807.444,212,212,212
10,2601,890.24,212,212,212
10,2801,967.572,212,212,212
10,3001,1031.1,212,212,212
10,3201,1091.44,212,212,212
10,3401,1157.92,212,212,212
10,3601,1276.84,212,212,212
10,3801,1282.99,212,212,212
10,4001,1337.62,212,212,212
10,4201,1443.72,212,212,212
10,4401,1520.89,212,212,212
10,4601,1599.54,212,212,212
10,4801,1651.92,212,212,212
10,5001,1661.11,212,212,212
10,5201,1794.45,212,212,212
10,5401,1860.04,212,212,212
10,5601,1904.62,212,212,212
10,5801,1966.56,212,212,212
10,6001,2076.22,212,212,212
10,6201,2122.75,212,212,212
10,6401,2212.39,212,212,212
10,6601,2276.07,212,212,212
10,6801,2309.4,212,212,212
10,7001,2378.12,212,212,212
10,7201,2505.66,212,212,212
10,7401,2503.37,212,212,212
10,7601,2629.37,212,212,212
10,7801,2756.7,212,212,212
10,8001,2990.54,212,212,212
10,8201,2863.38,212,212,212
10,8401,2914.06,212,212,212
10,8601,2989.34,212,212,212
10,8801,3009.98,212,212,212
10,9001,3137.9,212,212,212
10,9201,3119.42,212,212,212
10,9401,3212.99,212,212,212
10,9601,3310.54,212,212,212
10,9801,3405.89,212,212,212
18,1,0.3021,187,452,507
18,201,72.4662,187,199,224
18,401,141.424,187,205,229
18,601,209.942,187,202,229
18,801,279.954,187,218,228
18,1001,346.875,187,207,220
18,1201,403.372,187,203,226
18,1401,476.925,187,209,222
18,1601,567.686,187,209,231
18,1801,626.186,187,198,226
18,2001,701.97,187,207,225
18,2201,770.255,187,201,224
18,2401,851.285,187,206,222
18,2601,907.587,187,198,224
18,2801,970.93,187,216,230
18,3001,1027.37,187,213,232
18,3201,1081.66,187,197,222
18,3401,1161.85,187,198,222
18,3601,1273.2,187,207,223
18,3801,1335.93,187,209,229
