Parameter name,Repetitions,Time unit
logarithmic_cooling_scheme,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,370.073,212,212,212
10,2.98,356.596,212,212,212
10,4.96,363.831,212,212,212
10,6.94,357.202,212,212,212
10,8.92,359.195,212,212,212
10,10.9,351.709,212,212,212
10,12.88,354.913,212,212,212
10,14.86,359.044,212,212,212
10,16.84,357.149,212,212,212
10,18.82,359.542,212,212,212
10,20.8,361.106,212,212,212
10,22.78,360.64,212,212,212
10,24.76,367.82,212,212,212
10,26.74,382.041,212,212,212
10,28.72,374.801,212,212,212
10,30.7,357.349,212,212,212
10,32.68,359.9,212,212,212
10,34.66,352.96,212,212,212
10,36.64,349.616,212,212,212
10,38.62,359.443,212,212,212
10,40.6,358.003,212,212,212
10,42.58,355.999,212,212,212
10,44.56,350.064,212,212,212
10,46.54,356.502,212,212,212
10,48.52,359.799,212,212,212
10,50.5,360.341,212,212,212
10,52.48,358.203,212,212,212
10,54.46,358.514,212,212,212
10,56.44,358.35,212,212,212
10,58.42,354.357,212,212,212
10,60.4,355.803,212,212,212
10,62.38,379.588,212,212,212
10,64.36,372.805,212,212,212
10,66.34,359.003,212,212,212
10,68.32,358.006,212,212,214
10,70.3,358.302,212,212,212
10,72.28,358.741,212,212,212
10,74.26,360.299,212,212,212
10,76.24,362.635,212,212,214
10,78.22,352.859,212,212,212
10,80.2,359.439,212,212,214
10,82.18,354.153,212,212,212
10,84.16,358.945,212,212,212
10,86.14,353.362,212,212,212
10,88.12,357.149,212,212,212
10,90.1,351.164,212,212,212
10,92.08,360.04,212,212,212
10,94.06,358.147,212,212,212
10,96.04,355.553,212,212,212
10,98.02,369.97,212,212,212
18,1,409.907,187,291,318
18,2.98,364.389,187,242,277
18,4.96,365.128,187,219,237
18,6.94,355.549,187,202,223
18,8.92,359.298,187,203,212
18,10.9,360.338,187,187,202
18,12.88,357.108,187,192,202
18,14.86,347.471,187,187,200
18,16.84,350.066,187,195,200
18,18.82,353.056,187,187,196
18,20.8,349.621,187,187,197
18,22.78,348.667,187,187,197
18,24.76,354.306,187,194,199
18,26.74,355.412,187,197,201
18,28.72,354.153,187,197,203
18,30.7,358.404,187,197,204
18,32.68,354.517,187,193,206
18,34.66,348.367,187,187,203
18,36.64,376.244,187,194,211
18,38.62,361.636,187,199,206
18,40.6,352.108,187,201,211
18,42.58,355.553,187,205,217
18,44.56,358.045,187,192,217
18,46.54,353.359,187,199,214
18,48.52,351.322,187,205,216
18,50.5,347.82,187,198,220
18,52.48,353.758,187,192,221
18,54.46,357.751,187,202,221
18,56.44,357.548,187,193,224
18,58.42,356.651,187,203,221
18,60.4,355.055,187,203,220
18,62.38,355.454,187,216,225
18,64.36,356.152,187,208,226
18,66.34,351.859,187,217,234
18,68.32,354.412,187,205,228
18,70.3,356.65,187,208,227
18,72.28,372.009,187,213,233
18,74.26,375.699,187,207,233
18,76.24,358.544,187,201,227
18,78.22,382.278,187,212,230
18,80.2,380.981,187,206,235
18,82.18,425.562,187,210,236
18,84.16,450.395,187,215,233
18,86.14,463.76,187,215,238
18,88.12,439.724,187,219,239
18,90.1,392.254,187,206,237
18,92.08,383.973,187,217,241
18,94.06,385.074,187,220,239
18,96.04,377.793,187,212,236
18,98.02,378.087,187,225,238
24,1,389.956,1272,1769,1923
24,2.98,392.052,1272,1481,1545
24,4.96,389.957,1272,1322,1367
24,6.94,417.183,1272,1272,1293
24,8.92,400.929,1272,1272,1272
24,10.9,408.81,1272,1272,1272
24,12.88,445.21,1272,1272,1272
24,14.86,440.522,1272,1272,1272
24,16.84,436.234,1272,1272,1272
24,18.82,439.924,1272,1272,1280
24,20.8,383.674,1272,1272,1287
24,22.78,383.778,1272,1272,1290
24,24.76,352.158,1272,1272,1300
24,26.74,356.252,1272,1272,1312
24,28.72,358.204,1272,1272,1299
24,30.7,356.65,1272,1272,1300
24,32.68,350.713,1272,1272,1314
24,34.66,355.853,1272,1272,1307
24,36.64,356.808,1272,1296,1333
24,38.62,356.303,1272,1272,1362
24,40.6,380.686,1272,1272,1349
24,42.58,365.579,1272,1289,1349
24,44.56,355.312,1272,1300,1360
24,46.54,355.109,1272,1286,1349
24,48.52,355.753,1272,1320,1371
24,50.5,357.502,1272,1289,1381
24,52.48,356.504,1272,1302,1369
24,54.46,356.352,1272,1353,1394
24,56.44,350.517,1272,1331,1370
24,58.42,358.504,1272,1328,1421
24,60.4,357.207,1272,1272,1369
24,62.38,357.448,1272,1272,1372
24,64.36,356.709,1272,1272,1357
24,66.34,356.169,1272,1289,1345
24,68.32,347.172,1272,1289,1386
24,70.3,349.722,1272,1328,1375
24,72.28,352.415,1272,1305,1414
24,74.26,350.025,1272,1346,1403
24,76.24,373.007,1272,1335,1394
24,78.22,381.929,1272,1289,1409
24,80.2,355.309,1272,1300,1368
24,82.18,348.073,1272,1353,1415
24,84.16,349.32,1272,1272,1422
24,86.14,347.121,1272,1272,1379
24,88.12,350.762,1272,1312,1418
24,90.1,359.501,1272,1356,1445
24,92.08,355.611,1272,1304,1426
24,94.06,354.656,1272,1349,1421
24,96.04,353.816,1272,1298,1395
24,98.02,350.017,1272,1330,1428
42,1,366.322,699,699,699
42,2.98,364.786,699,699,699
42,4.96,362.591,699,699,699
42,6.94,354.752,699,699,699
42,8.92,356.708,699,699,699
42,10.9,347.619,699,699,699
42,12.88,364.229,699,699,699
42,14.86,374.748,699,699,699
42,16.84,354.853,699,699,699
42,18.82,355.853,699,699,699
42,20.8,356.11,699,699,699
42,22.78,356.011,699,699,699
42,24.76,352.262,699,699,699
42,26.74,355.311,699,699,699
42,28.72,351.66,699,699,699
42,30.7,355.358,699,699,699
42,32.68,355.112,699,699,699
42,34.66,355.412,699,699,699
42,36.64,355.712,699,699,699
42,38.62,356.51,699,699,699
42,40.6,356.21,699,699,699
42,42.58,354.714,699,699,699
42,44.56,357.448,699,699,699
42,46.54,355.212,699,699,699
42,48.52,356.713,699,699,699
42,50.5,374.802,699,699,699
42,52.48,360.735,699,699,699
42,54.46,353.317,699,699,699
42,56.44,353.458,699,699,699
42,58.42,355.155,699,699,699
42,60.4,355.91,699,699,699
42,62.38,357.247,699,699,699
42,64.36,356.466,699,699,699
42,66.34,356.95,699,699,699
42,68.32,353.318,699,699,699
42,70.3,353.816,699,699,699
42,72.28,354.453,699,699,699
42,74.26,355.61,699,699,699
42,76.24,353.417,699,699,699
42,78.22,355.214,699,699,699
42,80.2,355.254,699,699,699
42,82.18,355.652,699,699,699
42,84.16,355.851,699,699,699
42,86.14,362.232,699,699,699
42,88.12,387.268,699,699,699
42,90.1,351.165,699,699,699
42,92.08,353.856,699,699,699
42,94.06,355.367,699,699,699
42,96.04,351.26,699,699,699
42,98.02,354.114,699,699,699
65,1,370.768,1839,4697,4774
65,2.98,365.027,1839,4522,4705
65,4.96,362.484,1839,3196,3535
65,6.94,391.557,1839,2750,2867
65,8.92,360.487,1839,2216,2397
65,10.9,358.345,1839,2164,2271
65,12.88,357.207,1839,2006,2145
65,14.86,359.601,1839,2007,2131
65,16.84,358.246,1839,1964,2142
65,18.82,352.922,1839,2024,2192
65,20.8,359.302,1839,2060,2222
65,22.78,357.706,1839,2140,2305
65,24.76,348.767,1839,2085,2210
65,26.74,356.048,1839,2237,2328
65,28.72,359.699,1839,2197,2353
65,30.7,357.547,1839,2115,2304
65,32.68,359.201,1839,2188,2373
65,34.66,355.653,1839,2226,2451
65,36.64,352.714,1839,2266,2457
65,38.62,357.506,1839,2263,2400
65,40.6,348.768,1839,2249,2468
65,42.58,386.225,1839,2284,2382
65,44.56,361.993,1839,2228,2460
65,46.54,358.405,1839,2338,2505
65,48.52,356.35,1839,2283,2506
65,50.5,357.108,1839,2322,2496
65,52.48,358.359,1839,2210,2500
65,54.46,359.841,1839,2279,2545
65,56.44,355.35,1839,2343,2598
65,58.42,356.549,1839,2321,2521
65,60.4,358.648,1839,2416,2515
65,62.38,359.759,1839,2306,2526
65,64.36,357.049,1839,2359,2614
65,66.34,356.907,1839,2463,2582
65,68.32,356.148,1839,2452,2581
65,70.3,358.802,1839,2369,2532
65,72.28,357.205,1839,2257,2573
65,74.26,348.667,1839,2411,2525
65,76.24,358.944,1839,2468,2583
65,78.22,378.047,1839,2444,2675
65,80.2,368.376,1839,2421,2580
65,82.18,356.746,1839,2481,2676
65,84.16,354.057,1839,2352,2536
65,86.14,357.946,1839,2457,2606
65,88.12,358.043,1839,2364,2590
65,90.1,356.248,1839,2317,2622
65,92.08,356.748,1839,2425,2651
65,94.06,356.9,1839,2369,2616
65,96.04,358.146,1839,2300,2627
65,98.02,359.102,1839,2348,2638
100,1,362.036,36230,44722,46692
100,2.98,357.905,36230,44270,47105
100,4.96,358.1,36230,49999,52727
100,6.94,351.315,36230,49103,55020
100,8.92,358.303,36230,53808,57313
100,10.9,361.039,36230,52042,54716
100,12.88,360.54,36230,51335,55707
100,14.86,365.521,36230,52453,56405
100,16.84,390.758,36230,52298,56795
100,18.82,361.246,36230,53233,58177
100,20.8,360.64,36230,50969,58066
100,22.78,358.302,36230,56366,59593
100,24.76,358.445,36230,56046,58874
100,26.74,352.711,36230,52637,59356
100,28.72,355.254,36230,55424,58592
100,30.7,353.011,36230,54193,59672
100,32.68,357.048,36230,55748,59037
100,34.66,346.823,36230,54728,56973
100,36.64,349.716,36230,50860,57694
100,38.62,352.856,36230,54221,57967
100,40.6,353.317,36230,53148,57333
