Parameter name,Repetitions,Time unit
neighbourhood_algorithm,30,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,insert,444.631,212,212,212
10,invert,826.554,212,212,212
10,swap,343.935,212,212,212
18,insert,450.4,187,192,207
18,invert,1055.18,187,239,275
18,swap,344.785,187,206,231
24,insert,455.077,1272,1272,1306
24,invert,1263.1,1272,1272,1272
24,swap,345.61,1272,1272,1331
42,insert,466.051,699,699,699
42,invert,1842.07,699,699,699
42,swap,344.353,699,699,699
65,insert,459.01,1839,1924,2078
65,invert,2559.46,1839,2941,3399
65,swap,344.098,1839,2324,2563
100,insert,465.776,36230,40801,43078
100,invert,3676.17,36230,43298,49932
100,swap,346.351,36230,47497,51285
