Parameter name,Repetitions,Time unit
iterations_without_improvement_to_restart,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,1,3.19424,212,212,240
10,21,2.99493,212,212,212
10,41,2.8956,212,212,212
10,61,3.09409,212,212,212
10,81,2.99387,212,212,212
10,101,2.99199,212,212,212
10,121,2.99421,212,212,212
10,141,2.89287,212,212,212
10,161,3.08659,212,212,212
10,181,2.99206,212,212,212
10,201,3.09305,212,212,212
10,221,2.79569,212,212,212
10,241,2.89299,212,212,212
10,261,2.79577,212,212,212
10,281,2.89447,212,212,212
10,301,2.88914,212,212,212
10,321,2.89223,212,212,212
10,341,2.79557,212,212,212
10,361,2.89554,212,212,212
10,381,2.79602,212,212,212
10,401,2.89451,212,212,212
10,421,2.89498,212,212,212
10,441,2.79262,212,212,212
10,461,2.79235,212,212,212
10,481,2.99533,212,212,212
10,501,2.9954,212,212,212
10,521,3.09443,212,212,212
10,541,3.09513,212,212,212
10,561,2.9891,212,212,212
10,581,2.7947,212,212,212
10,601,2.79531,212,212,212
10,621,2.99473,212,212,212
10,641,3.09434,212,212,212
10,661,2.9954,212,212,212
10,681,2.9958,212,212,212
10,701,2.89603,212,212,212
10,721,2.99482,212,212,212
10,741,2.89561,212,212,212
10,761,2.99566,212,212,212
10,781,2.99509,212,212,212
10,801,2.9957,212,212,212
10,821,2.99511,212,212,212
10,841,2.9954,212,212,212
10,861,2.89345,212,212,212
10,881,2.79098,212,212,212
10,901,2.89219,212,212,212
10,921,2.99584,212,212,212
10,941,3.09531,212,212,212
10,961,2.99224,212,212,212
10,981,2.99202,212,212,212
18,1,9.97036,187,275,275
18,21,10.575,187,215,228
18,41,10.2727,187,213,226
18,61,10.472,187,201,227
18,81,10.2758,187,233,233
18,101,10.2757,187,233,233
18,121,10.3722,187,233,233
18,141,10.3755,187,233,233
18,161,10.1747,187,233,233
18,181,10.4739,187,233,233
18,201,10.2722,187,233,233
18,221,10.2302,187,233,233
18,241,10.6723,187,233,233
18,261,10.4741,187,233,233
18,281,10.376,187,233,233
18,301,10.375,187,233,233
18,321,10.5744,187,233,233
18,341,10.3749,187,233,233
18,361,10.3765,187,233,233
18,381,10.4741,187,233,233
18,401,10.2759,187,233,233
18,421,10.5755,187,233,233
18,441,10.6737,187,233,233
18,461,10.5734,187,233,233
18,481,10.2763,187,233,233
18,501,10.2725,187,233,233
18,521,10.1729,187,233,233
18,541,10.073,187,233,233
18,561,10.2753,187,233,233
18,581,10.3763,187,233,233
18,601,10.4754,187,233,233
18,621,10.1729,187,233,233
18,641,10.1727,187,233,233
18,661,9.97329,187,233,233
18,681,10.1719,187,233,233
18,701,10.073,187,233,233
18,721,10.1728,187,233,233
18,741,10.2725,187,233,233
18,761,10.0717,187,233,233
18,781,10.4754,187,233,233
18,801,10.2752,187,233,233
18,821,10.5751,187,233,233
18,841,10.3733,187,233,233
18,861,10.376,187,233,233
18,881,10.2726,187,233,233
18,901,10.2729,187,233,233
18,921,10.475,187,233,233
18,941,10.2761,187,233,233
18,961,10.3758,187,233,233
18,981,10.3751,187,233,233
24,1,18.454,1272,1383,1383
24,21,19.6097,1272,1340,1346
24,41,19.6467,1272,1347,1347
24,61,19.1489,1272,1347,1347
24,81,19.049,1272,1347,1347
24,101,19.0472,1272,1347,1347
24,121,19.5478,1272,1347,1347
24,141,19.4481,1272,1347,1347
24,161,19.6512,1272,1347,1347
24,181,19.0491,1272,1347,1347
24,201,19.0491,1272,1347,1347
24,221,19.3475,1272,1347,1347
24,241,18.8496,1272,1347,1347
24,261,19.4516,1272,1347,1347
24,281,19.4511,1272,1347,1347
24,301,19.4519,1272,1347,1347
24,321,19.8503,1272,1347,1347
24,341,19.6505,1272,1347,1347
24,361,19.4481,1272,1347,1347
24,381,18.9493,1272,1347,1347
24,401,19.1487,1272,1347,1347
24,421,19.6508,1272,1347,1347
24,441,19.5516,1272,1347,1347
24,461,19.0485,1272,1347,1347
24,481,19.4513,1272,1347,1347
24,501,19.4519,1272,1347,1347
24,521,19.5518,1272,1347,1347
24,541,19.7469,1272,1347,1347
24,561,19.3515,1272,1347,1347
24,581,19.5507,1272,1347,1347
24,601,19.4505,1272,1347,1347
24,621,19.7481,1272,1347,1347
24,641,19.6477,1272,1347,1347
24,661,19.2521,1272,1347,1347
24,681,19.6487,1272,1347,1347
24,701,19.6507,1272,1347,1347
24,721,19.751,1272,1347,1347
24,741,19.3491,1272,1347,1347
24,761,19.1488,1272,1347,1347
24,781,19.351,1272,1347,1347
24,801,18.9494,1272,1347,1347
24,821,19.6516,1272,1347,1347
24,841,19.6493,1272,1347,1347
24,861,19.5501,1272,1347,1347
24,881,19.5476,1272,1347,1347
24,901,19.75,1272,1347,1347
24,921,19.6505,1272,1347,1347
24,941,19.8503,1272,1347,1347
24,961,19.6495,1272,1347,1347
24,981,19.7498,1272,1347,1347
42,1,58.1475,699,699,699
42,21,68.9197,699,699,699
42,41,68.819,699,699,699
42,61,69.1181,699,699,699
42,81,67.9209,699,699,699
42,101,66.4251,699,699,699
42,121,66.2258,699,699,699
42,141,65.985,699,699,699
42,161,64.7268,699,699,699
42,181,64.6264,699,699,699
42,201,64.8265,699,699,699
42,221,65.2258,699,699,699
42,241,66.7229,699,699,699
42,261,66.2264,699,699,699
42,281,66.3839,699,699,699
42,301,66.0273,699,699,699
42,321,66.0268,699,699,699
42,341,66.5251,699,699,699
42,361,66.6249,699,699,699
42,381,72.4675,699,699,699
42,401,72.2103,699,699,699
42,421,69.4167,699,699,699
42,441,71.7085,699,699,699
42,461,73.1077,699,699,699
42,481,70.8601,699,699,699
42,501,72.4095,699,699,699
42,521,66.1259,699,699,699
42,541,66.9244,699,699,699
42,561,67.0239,699,699,699
42,581,66.3245,699,699,699
42,601,66.1251,699,699,699
42,621,66.0273,699,699,699
42,641,66.0798,699,699,699
42,661,64.8265,699,699,699
42,681,66.2259,699,699,699
42,701,65.9272,699,699,699
42,721,66.4252,699,699,699
42,741,65.9839,699,699,699
42,761,65.5248,699,699,699
42,781,67.0237,699,699,699
42,801,66.6246,699,699,699
42,821,66.0262,699,699,699
42,841,64.9265,699,699,699
42,861,65.7279,699,699,699
42,881,64.9262,699,699,699
42,901,64.7266,699,699,699
42,921,66.0269,699,699,699
42,941,67.0204,699,699,699
42,961,66.3802,699,699,699
42,981,64.9253,699,699,699
65,1,161.169,1839,2554,2554
65,21,193.141,1839,2396,2396
65,41,195.039,1839,2396,2396
65,61,191.189,1839,2396,2396
65,81,193.482,1839,2396,2396
65,101,191.838,1839,2396,2396
65,121,197.176,1839,2396,2396
65,141,206.551,1839,2396,2396
65,161,213.333,1839,2396,2396
65,181,210.196,1839,2396,2396
65,201,198.17,1839,2396,2396
65,221,196.377,1839,2396,2396
65,241,198.372,1839,2396,2396
65,261,198.173,1839,2396,2396
65,281,197.575,1839,2396,2396
65,301,197.37,1839,2396,2396
65,321,197.675,1839,2396,2396
65,341,197.774,1839,2396,2396
65,361,195.885,1839,2396,2396
65,381,191.838,1839,2396,2396
65,401,196.578,1839,2396,2396
65,421,198.473,1839,2396,2396
65,441,198.169,1839,2396,2396
65,461,194.283,1839,2396,2396
65,481,197.873,1839,2396,2396
65,501,197.574,1839,2396,2396
65,521,197.176,1839,2396,2396
65,541,197.475,1839,2396,2396
65,561,197.375,1839,2396,2396
65,581,196.533,1839,2396,2396
65,601,193.885,1839,2396,2396
65,621,196.876,1839,2396,2396
65,641,197.176,1839,2396,2396
65,661,196.877,1839,2396,2396
65,681,196.233,1839,2396,2396
65,701,197.775,1839,2396,2396
65,721,196.079,1839,2396,2396
65,741,196.177,1839,2396,2396
65,761,197.077,1839,2396,2396
65,781,196.874,1839,2396,2396
65,801,204.112,1839,2396,2396
65,821,217.821,1839,2396,2396
65,841,208.845,1839,2396,2396
65,861,198.97,1839,2396,2396
65,881,194.779,1839,2396,2396
65,901,198.073,1839,2396,2396
65,921,196.677,1839,2396,2396
65,941,196.478,1839,2396,2396
65,961,193.88,1839,2396,2396
65,981,198.273,1839,2396,2396
100,1,533.935,36230,65355,65355
100,21,548.737,36230,64141,64141
100,41,564.507,36230,64141,64141
100,61,564.95,36230,64141,64141
100,81,562.798,36230,64141,64141
100,101,555.365,36230,64141,64141
100,121,561.558,36230,64141,64141
100,141,561.901,36230,64141,64141
100,161,585.993,36230,64141,64141
100,181,567.682,36230,64141,64141
100,201,556.863,36230,64141,64141
100,221,557.965,36230,64141,64141
100,241,552.523,36230,64141,64141
100,261,563.795,36230,64141,64141
100,281,561.159,36230,64141,64141
100,301,551.825,36230,64141,64141
100,321,551.428,36230,64141,64141
100,341,565.091,36230,64141,64141
100,361,564.053,36230,64141,64141
100,381,575.016,36230,64141,64141
100,401,590.625,36230,64141,64141
100,421,551.179,36230,64141,64141
100,441,561.403,36230,64141,64141
100,461,559.522,36230,64141,64141
100,481,561.56,36230,64141,64141
100,501,559.964,36230,64141,64141
100,521,561.216,36230,64141,64141
100,541,545.443,36230,64141,64141
100,561,560.505,36230,64141,64141
100,581,563.55,36230,64141,64141
100,601,564.151,36230,64141,64141
100,621,562.602,36230,64141,64141
100,641,587.934,36230,64141,64141
100,661,566.988,36230,64141,64141
100,681,561.059,36230,64141,64141
100,701,561.061,36230,64141,64141
100,721,562.856,36230,64141,64141
100,741,561.953,36230,64141,64141
100,761,564.295,36230,64141,64141
100,781,561.9,36230,64141,64141
100,801,561.702,36230,64141,64141
100,821,559.406,36230,64141,64141
100,841,559.754,36230,64141,64141
100,861,582.599,36230,64141,64141
100,881,573.371,36230,64141,64141
100,901,561.857,36230,64141,64141
100,921,556.77,36230,64141,64141
100,941,561.399,36230,64141,64141
100,961,564.291,36230,64141,64141
100,981,558.307,36230,64141,64141
