Parameter name,Repetitions,Time unit
neighbourhood_algorithm,30,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
10,insert,6.91564,212,212,232
10,invert,6.9819,212,212,212
10,swap,2.89181,212,212,212
18,insert,24.8003,187,198,244
18,invert,32.5671,187,261,302
18,swap,10.206,187,192,228
24,insert,47.6404,1272,1272,1272
24,invert,69.6006,1272,1272,1277
24,swap,19.7148,1272,1328,1346
42,insert,170.383,699,699,699
42,invert,342.391,699,699,699
42,swap,67.9529,699,699,699
65,insert,461.231,1839,2269,2269
65,invert,1155.89,1839,3916,3916
65,swap,194.814,1839,2396,2396
100,insert,1364.05,36230,56009,56009
100,invert,4478.86,36230,52153,52153
100,swap,559.644,36230,64141,64141
